0,0,0,2,25,1,0,0,0,0,1
0,0,0,1,30,1,1,0,1,0,0
1,0,0,1,20,1,0,1,1,1,0
0,0,0,0,33,0,2,0,0,0,0
1,2,0,6,29,1,3,0,0,1,1
0,0,0,1,20,0,2,1,0,1,1
0,0,0,0,38,0,2,0,0,0,1
0,0,0,2,29,1,4,0,1,1,0
0,0,0,0,22,0,2,1,1,0,0
0,0,0,0,24,1,5,1,0,0,0
0,0,0,0,38,1,6,0,0,1,0
0,0,0,5,34,1,7,0,0,1,1
0,0,0,0,22,0,2,1,1,2,0
0,0,0,0,23,1,4,1,0,0,0
0,0,0,0,25,1,8,0,0,0,1
0,0,0,7,38,0,2,0,0,1,0
0,0,0,4,31,1,6,0,0,1,1
0,0,0,1,72,0,9,2,0,0,0
0,0,0,0,21,1,10,1,0,0,1
0,0,0,0,24,0,11,1,0,2,0
0,1,0,5,42,1,0,0,0,1,1
0,0,0,9,28,0,0,0,1,1,1
0,0,0,0,23,0,12,1,0,0,1
0,0,0,5,53,1,13,2,0,1,0
0,0,0,0,27,0,2,0,0,0,0
0,0,0,1,43,1,14,0,0,0,0
0,0,0,0,27,1,15,0,0,1,1
0,0,0,2,67,1,16,2,0,0,0
0,0,0,0,66,0,17,2,0,2,0
0,0,0,4,47,1,14,2,0,1,1
0,0,0,1,45,1,15,2,0,1,1
2,0,0,8,30,1,0,0,0,1,1
0,0,0,16,58,1,18,2,0,1,1
0,0,0,0,21,1,19,1,1,1,1
0,0,0,0,29,1,20,0,0,1,0
0,0,0,1,67,1,4,2,0,0,0
0,0,0,0,54,0,2,2,0,0,0
0,0,0,4,37,0,2,0,0,0,1
0,0,0,1,21,1,0,1,0,0,0
0,0,0,0,23,1,21,1,1,1,1
0,0,0,2,33,1,4,0,0,1,1
0,0,0,2,26,1,15,0,0,0,1
0,0,1,4,23,0,22,1,0,1,1
0,0,0,1,30,1,15,0,0,2,1
0,0,0,0,24,1,23,1,0,1,0
0,0,0,6,25,0,2,0,0,2,1
0,0,0,7,29,1,24,0,0,1,1
